Date,Time Interval,Total User,Playing,Not Playing,Male,Female,Children,Teenager,Adult,Elder
22-Apr-19,17:00-17:30,4,4,0,2,2,0,4,0,0
22-Apr-19,17:30-18:00,4,3,1,4,0,0,4,0,0
22-Apr-19,18:00-18:30,9,9,0,9,0,1,8,0,0
22-Apr-19,18:30-19:00,19,13,6,17,2,0,15,2,2
23-Apr-19,17:00-17:30,1,1,0,1,0,0,1,0,0
23-Apr-19,17:30-18:00,2,1,1,2,0,0,2,0,0
23-Apr-19,18:00-18:30,14,13,1,9,5,0,13,1,0
23-Apr-19,18:30-19:00,24,15,9,19,5,4,18,2,0
24-Apr-19,17:00-17:30,6,5,1,3,3,0,5,1,0
24-Apr-19,17:30-18:00,10,7,3,7,3,0,9,1,0
24-Apr-19,18:00-18:30,20,14,6,18,2,1,17,2,0
24-Apr-19,18:30-19:00,27,15,12,26,1,2,22,3,0
25-Apr-19,17:00-17:30,5,5,0,5,0,0,4,1,0
25-Apr-19,17:30-18:00,9,7,2,9,0,2,6,1,0
25-Apr-19,18:00-18:30,15,15,0,11,4,0,14,1,0
25-Apr-19,18:30-19:00,18,13,5,18,0,0,18,0,0
26-Apr-19,17:00-17:30,3,3,0,3,0,0,3,0,0
26-Apr-19,17:30-18:00,7,7,0,7,0,2,5,0,0
26-Apr-19,18:00-18:30,11,9,2,10,1,2,9,0,0
26-Apr-19,18:30-19:00,13,10,3,12,1,2,11,0,0
27-Apr-19,17:00-17:30,1,1,0,1,0,0,1,0,0
27-Apr-19,17:30-18:00,4,2,2,3,1,0,4,0,0
27-Apr-19,18:00-18:30,11,9,2,11,0,1,9,1,0
27-Apr-19,18:30-19:00,32,22,10,30,2,0,32,0,0
28-Apr-19,17:00-17:30,1,1,0,1,0,0,0,1,0
28-Apr-19,17:30-18:00,4,2,2,4,0,0,1,3,0
28-Apr-19,18:00-18:30,11,9,2,11,0,0,5,6,0
28-Apr-19,18:30-19:00,29,27,2,28,1,0,19,10,0
